mentor_node,mentor_id,struggler_node,struggler_id,shared_module,rank,match_score
http://stonegrove.example/resource/Student_33146,33146,http://stonegrove.example/resource/Student_0,0,452401,1,1.0
http://stonegrove.example/resource/Student_4966,4966,http://stonegrove.example/resource/Student_0,0,452401,2,1.0
http://stonegrove.example/resource/Student_6278,6278,http://stonegrove.example/resource/Student_0,0,452401,3,1.0
http://stonegrove.example/resource/Student_32085,32085,http://stonegrove.example/resource/Student_0,0,452401,4,1.0
http://stonegrove.example/resource/Student_8666,8666,http://stonegrove.example/resource/Student_0,0,452401,5,1.0
http://stonegrove.example/resource/Student_1211,1211,http://stonegrove.example/resource/Student_0,0,452401,6,1.0
http://stonegrove.example/resource/Student_31260,31260,http://stonegrove.example/resource/Student_0,0,,7,0.0
http://stonegrove.example/resource/Student_201,201,http://stonegrove.example/resource/Student_0,0,,8,0.0
http://stonegrove.example/resource/Student_3884,3884,http://stonegrove.example/resource/Student_0,0,,9,0.0
http://stonegrove.example/resource/Student_786,786,http://stonegrove.example/resource/Student_0,0,,10,0.0
http://stonegrove.example/resource/Student_16963,16963,http://stonegrove.example/resource/Student_10023,10023,434602,1,1.0
http://stonegrove.example/resource/Student_16963,16963,http://stonegrove.example/resource/Student_10023,10023,434701,1,1.0
http://stonegrove.example/resource/Student_21231,21231,http://stonegrove.example/resource/Student_10023,10023,434602,2,1.0
http://stonegrove.example/resource/Student_21231,21231,http://stonegrove.example/resource/Student_10023,10023,434701,2,1.0
http://stonegrove.example/resource/Student_6559,6559,http://stonegrove.example/resource/Student_10023,10023,434602,3,1.0
http://stonegrove.example/resource/Student_6559,6559,http://stonegrove.example/resource/Student_10023,10023,434701,3,1.0
http://stonegrove.example/resource/Student_28417,28417,http://stonegrove.example/resource/Student_10023,10023,,4,0.3
http://stonegrove.example/resource/Student_12986,12986,http://stonegrove.example/resource/Student_10023,10023,,5,0.0
http://stonegrove.example/resource/Student_11430,11430,http://stonegrove.example/resource/Student_10023,10023,,6,0.0
http://stonegrove.example/resource/Student_13123,13123,http://stonegrove.example/resource/Student_10023,10023,,7,0.0
http://stonegrove.example/resource/Student_5576,5576,http://stonegrove.example/resource/Student_10023,10023,,8,0.0
http://stonegrove.example/resource/Student_1150,1150,http://stonegrove.example/resource/Student_10023,10023,,9,0.0
http://stonegrove.example/resource/Student_11512,11512,http://stonegrove.example/resource/Student_10023,10023,,10,0.0
http://stonegrove.example/resource/Student_28681,28681,http://stonegrove.example/resource/Student_10033,10033,,1,0.0
http://stonegrove.example/resource/Student_3884,3884,http://stonegrove.example/resource/Student_10033,10033,,2,0.0
http://stonegrove.example/resource/Student_8666,8666,http://stonegrove.example/resource/Student_10033,10033,,3,0.0
http://stonegrove.example/resource/Student_33065,33065,http://stonegrove.example/resource/Student_10033,10033,,4,0.0
http://stonegrove.example/resource/Student_31260,31260,http://stonegrove.example/resource/Student_10033,10033,,5,0.0
http://stonegrove.example/resource/Student_201,201,http://stonegrove.example/resource/Student_10033,10033,,6,0.0
http://stonegrove.example/resource/Student_33833,33833,http://stonegrove.example/resource/Student_10033,10033,,7,0.0
http://stonegrove.example/resource/Student_5496,5496,http://stonegrove.example/resource/Student_10033,10033,,8,0.0
http://stonegrove.example/resource/Student_25605,25605,http://stonegrove.example/resource/Student_10033,10033,,9,0.0
http://stonegrove.example/resource/Student_6482,6482,http://stonegrove.example/resource/Student_10033,10033,,10,0.0
http://stonegrove.example/resource/Student_15753,15753,http://stonegrove.example/resource/Student_10067,10067,442401,1,1.0
http://stonegrove.example/resource/Student_12899,12899,http://stonegrove.example/resource/Student_10067,10067,442401,2,1.0
http://stonegrove.example/resource/Student_29646,29646,http://stonegrove.example/resource/Student_10067,10067,442401,3,1.0
http://stonegrove.example/resource/Student_23779,23779,http://stonegrove.example/resource/Student_10067,10067,442401,4,1.0
http://stonegrove.example/resource/Student_500,500,http://stonegrove.example/resource/Student_10067,10067,442401,5,1.0
http://stonegrove.example/resource/Student_22687,22687,http://stonegrove.example/resource/Student_10067,10067,442401,6,1.0
http://stonegrove.example/resource/Student_22039,22039,http://stonegrove.example/resource/Student_10067,10067,442401,7,1.0
http://stonegrove.example/resource/Student_21475,21475,http://stonegrove.example/resource/Student_10067,10067,442401,8,1.0
http://stonegrove.example/resource/Student_31426,31426,http://stonegrove.example/resource/Student_10067,10067,442401,9,1.0
http://stonegrove.example/resource/Student_27533,27533,http://stonegrove.example/resource/Student_10067,10067,442401,10,1.0
http://stonegrove.example/resource/Student_7148,7148,http://stonegrove.example/resource/Student_10083,10083,,1,0.3
http://stonegrove.example/resource/Student_20819,20819,http://stonegrove.example/resource/Student_10083,10083,,2,0.3
http://stonegrove.example/resource/Student_32223,32223,http://stonegrove.example/resource/Student_10083,10083,,3,0.3
http://stonegrove.example/resource/Student_30660,30660,http://stonegrove.example/resource/Student_10083,10083,,4,0.3
http://stonegrove.example/resource/Student_31904,31904,http://stonegrove.example/resource/Student_10083,10083,,5,0.3
http://stonegrove.example/resource/Student_9642,9642,http://stonegrove.example/resource/Student_10083,10083,,6,0.0
http://stonegrove.example/resource/Student_6473,6473,http://stonegrove.example/resource/Student_10083,10083,,7,0.0
http://stonegrove.example/resource/Student_33764,33764,http://stonegrove.example/resource/Student_10083,10083,,8,0.0
http://stonegrove.example/resource/Student_21258,21258,http://stonegrove.example/resource/Student_10083,10083,,9,0.0
http://stonegrove.example/resource/Student_26202,26202,http://stonegrove.example/resource/Student_10083,10083,,10,0.0
http://stonegrove.example/resource/Student_31904,31904,http://stonegrove.example/resource/Student_10132,10132,,1,0.0
http://stonegrove.example/resource/Student_26198,26198,http://stonegrove.example/resource/Student_10132,10132,,2,0.0
http://stonegrove.example/resource/Student_28681,28681,http://stonegrove.example/resource/Student_10132,10132,,3,0.0
http://stonegrove.example/resource/Student_6278,6278,http://stonegrove.example/resource/Student_10132,10132,,4,0.0
http://stonegrove.example/resource/Student_30660,30660,http://stonegrove.example/resource/Student_10132,10132,,5,0.0
http://stonegrove.example/resource/Student_28417,28417,http://stonegrove.example/resource/Student_10132,10132,,6,0.0
http://stonegrove.example/resource/Student_24797,24797,http://stonegrove.example/resource/Student_10132,10132,,7,0.0
http://stonegrove.example/resource/Student_8666,8666,http://stonegrove.example/resource/Student_10132,10132,,8,0.0
http://stonegrove.example/resource/Student_23779,23779,http://stonegrove.example/resource/Student_10132,10132,,9,0.0
http://stonegrove.example/resource/Student_16325,16325,http://stonegrove.example/resource/Student_10132,10132,,10,0.0
http://stonegrove.example/resource/Student_6111,6111,http://stonegrove.example/resource/Student_10233,10233,453701,1,1.0
http://stonegrove.example/resource/Student_8192,8192,http://stonegrove.example/resource/Student_10233,10233,453701,2,1.0
http://stonegrove.example/resource/Student_29839,29839,http://stonegrove.example/resource/Student_10233,10233,453701,3,1.0
http://stonegrove.example/resource/Student_23982,23982,http://stonegrove.example/resource/Student_10233,10233,453701,4,1.0
http://stonegrove.example/resource/Student_18337,18337,http://stonegrove.example/resource/Student_10233,10233,453701,5,1.0
http://stonegrove.example/resource/Student_10345,10345,http://stonegrove.example/resource/Student_10233,10233,453701,6,1.0
http://stonegrove.example/resource/Student_21513,21513,http://stonegrove.example/resource/Student_10233,10233,453701,7,1.0
http://stonegrove.example/resource/Student_15435,15435,http://stonegrove.example/resource/Student_10233,10233,453701,8,1.0
http://stonegrove.example/resource/Student_17942,17942,http://stonegrove.example/resource/Student_10233,10233,453701,9,1.0
http://stonegrove.example/resource/Student_14409,14409,http://stonegrove.example/resource/Student_10233,10233,453701,10,1.0
http://stonegrove.example/resource/Student_18997,18997,http://stonegrove.example/resource/Student_10237,10237,451202,1,1.0
http://stonegrove.example/resource/Student_18997,18997,http://stonegrove.example/resource/Student_10237,10237,451301,1,1.0
http://stonegrove.example/resource/Student_26027,26027,http://stonegrove.example/resource/Student_10237,10237,451202,2,1.0
http://stonegrove.example/resource/Student_26027,26027,http://stonegrove.example/resource/Student_10237,10237,451301,2,1.0
http://stonegrove.example/resource/Student_30553,30553,http://stonegrove.example/resource/Student_10237,10237,451202,3,1.0
http://stonegrove.example/resource/Student_30553,30553,http://stonegrove.example/resource/Student_10237,10237,451301,3,1.0
http://stonegrove.example/resource/Student_184,184,http://stonegrove.example/resource/Student_10237,10237,451202,4,1.0
http://stonegrove.example/resource/Student_184,184,http://stonegrove.example/resource/Student_10237,10237,451301,4,1.0
http://stonegrove.example/resource/Student_23770,23770,http://stonegrove.example/resource/Student_10237,10237,451202,5,1.0
http://stonegrove.example/resource/Student_23770,23770,http://stonegrove.example/resource/Student_10237,10237,451301,5,1.0
http://stonegrove.example/resource/Student_5576,5576,http://stonegrove.example/resource/Student_10237,10237,,6,0.3
http://stonegrove.example/resource/Student_12274,12274,http://stonegrove.example/resource/Student_10237,10237,,7,0.3
http://stonegrove.example/resource/Student_21866,21866,http://stonegrove.example/resource/Student_10237,10237,,8,0.3
http://stonegrove.example/resource/Student_5695,5695,http://stonegrove.example/resource/Student_10237,10237,,9,0.3
http://stonegrove.example/resource/Student_3146,3146,http://stonegrove.example/resource/Student_10237,10237,,10,0.3
http://stonegrove.example/resource/Student_28417,28417,http://stonegrove.example/resource/Student_10272,10272,,1,0.0
http://stonegrove.example/resource/Student_24428,24428,http://stonegrove.example/resource/Student_10272,10272,,2,0.0
http://stonegrove.example/resource/Student_26631,26631,http://stonegrove.example/resource/Student_10272,10272,,3,0.0
http://stonegrove.example/resource/Student_14409,14409,http://stonegrove.example/resource/Student_10272,10272,,4,0.0
http://stonegrove.example/resource/Student_20819,20819,http://stonegrove.example/resource/Student_10272,10272,,5,0.0
http://stonegrove.example/resource/Student_201,201,http://stonegrove.example/resource/Student_10272,10272,,6,0.0
http://stonegrove.example/resource/Student_1150,1150,http://stonegrove.example/resource/Student_10272,10272,,7,0.0
http://stonegrove.example/resource/Student_29283,29283,http://stonegrove.example/resource/Student_10272,10272,,8,0.0
http://stonegrove.example/resource/Student_13123,13123,http://stonegrove.example/resource/Student_10272,10272,,9,0.0
